text@sel1984m	@sel1984m	3.17	5.67	это / эт... / я / я очень рад что так было
text@sel1984m	@sel1984m	9.36	12.12	ааа / / ммм / правду говорить?
text@sel1984m	@sel1984m	14.04	16.487	эээ // Алексей / э
text@sel1984m	@sel1984m	17.763	21.08	м / я очень рад во-первых что я рос в девяностые в Сибири 
text@sel1984m	@sel1984m	22.62	29.636	эээ / это невероятно было в плане закалки / это было очень круто в плане понимания как можно
text@sel1984m	@sel1984m	30.382	37.846	жить тогда без денег в обычной семье когда восемь месяцев зимы когда все детство или все свободное время либо на улице
text@sel1984m	@sel1984m	38.248	40.541	эээ / либо по подъездам
text@sel1984m	@sel1984m	42.14	49.536	фуф / когда возвращаясь домой со школы там не знаю куча молодежи сидит на корточках / эээ / возле входной
text@sel1984m	@sel1984m	50.168	54.582	двери / да / и / там / я не знаю / под героином или еще под чем-то
text@sel1984m	@sel1984m	55.14	58.46	ну правда / я видел в... / я видел на сам...
text@sel1984m	@sel1984m	60.64	68.829	да / это самое / эт... / это самое жесткое самое жесткое воспоминание у меня почему-то ну / каждый же из нас да что-то ты там вспоминаешь какую-то жесть из детства // я помню когда
text@sel1984m	@sel1984m	69.902	73.454	ты собираешься / там / на местную там / дискотеку если так можно сказать
text@sel1984m	@sel1984m	73.979	78.637	эээ / и люди собираются в подъезде ну / перед дискотекой же как-то надо там / да / там / не знаю / там 
text@sel1984m	@sel1984m	79.711	84.32	изменить свое настроение и я никогда не забуду / действительно вот это вот когда
text@sel1984m	@sel1984m	85.198	85.466	ну
text@sel1984m	@sel1984m	86.342	88.564	растворяется героин там / в воде
text@sel1984m	@sel1984m	88.907	92.08	когда эта ложка поджигается когда / человек там
text@sel1984m	@sel1984m	93.281	93.8	я не знаю
text@sel1984m	@sel1984m	96.305	99.206	погружает все это в себя вот эта бурая кровь ну это ужасно
text@sel1984m	@sel1984m	99.404	103.54	это правда ужасно а когда ты по сути еще ребенок тебе там двенадцать четырнадцать лет
text@sel1984m	@sel1984m	104.002	104.718	ну
text@sel1984m	@sel1984m	105.996	108.354	и по большому счету ты другого не видишь / спорта нет
text@sel1984m	@sel1984m	109.119	110.798	какой-то там супер культуры нет
text@sel1984m	@sel1984m	111.31	114.372	Сибирь / ты понимаешь что ты где-то далеко от цивилизации
text@sel1984m	@sel1984m	118.585	121.203	ввв... / мне повезло в двенадцать лет эээ
